ID	OPERATEID	USERID	USERIP	URL	STARTTIME	ENDTIME	MODULE	DESCRIPTION	MACADDR	TIMECOST	OPERATE
236	aa67fa00e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:18	2014/5/29 13:11:18				8	
237	aa6980a0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:18	2014/5/29 13:11:18				18	
238	ab528110e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:19	2014/5/29 13:11:19				10	
239	ab8cf200e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:20	2014/5/29 13:11:20				10	
240	ac3985b0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:21	2014/5/29 13:11:21				7	
241	ac554b11e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:21	2014/5/29 13:11:21				7	
242	ac6fb0e0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:21	2014/5/29 13:11:21				7	
243	ac85d0f1e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:21	2014/5/29 13:11:21				9	
244	ad622730e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:23	2014/5/29 13:11:23				8	
245	b40c3d00e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:34	2014/5/29 13:11:34				8	
246	b40deab0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:34	2014/5/29 13:11:34				7	
247	b533f420e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:36	2014/5/29 13:11:36				7	
248	b56f7680e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:36	2014/5/29 13:11:36				7	
249	b62f9230e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:37	2014/5/29 13:11:37				8	
250	b65bd250e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:38	2014/5/29 13:11:38				9	
171	4efcf720e6e411e350d36d6d228a3858	admin		/authorization/controller/GroupController/dataGrid.do	2014/5/29 11:50:00	2014/5/29 11:50:00				24	
172	4f46aa50e6e411e350d36d6d228a3858	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 11:50:00	2014/5/29 11:50:00				14	
173	5059ef10e6e411e350d36d6d228a3858	admin		/authorization/controller/GroupController/noExistGroup.do	2014/5/29 11:50:02	2014/5/29 11:50:02				4	
174	505c11f0e6e411e350d36d6d228a3858	admin		/authorization/controller/GroupController/noExistGroup.do	2014/5/29 11:50:02	2014/5/29 11:50:02				18	
