SYS_SQLLOG_ID	SQLID	USERID	USERIP	MACADDR	SQL	STARTTIME	ENDTIME	SUCCESS	TYPE	TIMECOST
359	5889e190e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:50:16	2014/5/29 11:50:16	01	01	3
360	89f19610e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,memo,logflag,cuserid,cdate,euserid,edate,parentid ,(CASE WHEN menutype = 0 then '菜单' when menutype = 1 then '按钮' else '' END) as menuname from SYS_PRIVILEGE	2014/5/29 11:51:39	2014/5/29 11:51:39	01	01	5
361	de14bd80e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:54:00	2014/5/29 11:54:00	01	01	7
362	de1559c0e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:54:00	2014/5/29 11:54:00	01	01	4
363	1aedacd0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:55:42	2014/5/29 11:55:42	01	01	5
364	1aee2200e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:55:42	2014/5/29 11:55:42	01	01	2
365	1b105000e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP	2014/5/29 11:55:42	2014/5/29 11:55:42	01	01	3
366	1b109e20e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP	2014/5/29 11:55:42	2014/5/29 11:55:42	01	01	2
367	1b890270e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,memo,logflag,cuserid,cdate,euserid,edate,parentid ,(CASE WHEN menutype = 0 then '菜单' when menutype = 1 then '按钮' else '' END) as menuname from SYS_PRIVILEGE	2014/5/29 11:55:43	2014/5/29 11:55:43	01	01	5
368	253a3dc0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:55:59	2014/5/29 11:55:59	01	01	5
